entity,annual_return_gross,annual_return_net,annual_vol_gross,annual_vol_net,sharpe_gross,sharpe_net,max_drawdown,calmar,avg_turnover,ic_mean,rank_ic_mean,icir,rank_icir,long_win_rate,short_win_rate,profit_loss_ratio,n_obs,selected_factor_count,weighting,weight_max
trend_duration,0.16396861026018159,0.08937151207628366,0.12287960508532085,0.1228576502037074,1.3343842547860632,0.7274395361469053,-0.16588021282794707,0.5387713854031575,0.986734102961613,0.027047601571955047,0.03683840872848622,0.11585603157119032,0.15483948686587717,0.4655667144906743,0.4569583931133429,1.1237131464711845,2788,,,
turnover_shock_20,0.0924185619395628,0.0630671790719937,0.13885529582185036,0.13885508223697204,0.6655746285552889,0.4541942437826105,-0.26666572666311283,0.23650275519534028,0.38824580512657525,0.011303714508668242,0.016251102226412507,0.04366542346509943,0.07424501458325108,0.4573170731707317,0.445480631276901,1.0392075674859562,2788,,,
abnormal_volume,0.08176694364787199,-0.007329021201482395,0.13177195378708487,0.131759214196212,0.6205185648229045,-0.05562435421456165,-0.4119631329904271,-0.017790478357325973,1.1785180535628885,0.010423250233336465,0.01283164959869638,0.045669513590574216,0.05705444164800584,0.46377331420373025,0.44296987087517936,1.0504016669286118,2788,,,
up_volume_ratio,0.0792460591202055,0.03399923702551397,0.1407745685691628,0.1407814909063387,0.5629288011724347,0.24150360112419542,-0.33055654784270505,0.10285452594238872,0.59850293776047,0.012369476513543698,0.020662995422556896,0.05079361153954158,0.08875370977609953,0.460545193687231,0.44583931133428983,1.0476165404400435,2788,,,
range_breakout_strength,0.08584250342056127,0.034596552918409185,0.15587778781236247,0.15581912798248512,0.5507038855586915,0.22203020493285025,-0.3654152416040678,0.0946773669498302,0.6778564881237047,0.01550252777590346,0.016753099544496136,0.06025502666889731,0.06494906989596143,0.45911047345767575,0.453012912482066,1.07831107672593,2788,,,
amplitude_stability,0.05967065731299162,0.03579939475918964,0.17037500475484701,0.1703965123466245,0.3502312877340891,0.2100946449324367,-0.44677932863190384,0.08012768824558653,0.31575744118785726,-0.0014293691255463695,0.0015146276806833048,-0.004510434978461512,0.0054403725229255654,0.45767575322812054,0.4487087517934003,1.065636032084061,2788,,,
trend_strength,1.1894684594938034,1.127764747927271,3.5909950790786542,3.5909771740193266,0.33123644931281465,0.3140551146040789,-0.2943122633644961,3.831864615612606,0.8161866609329725,0.002446385094856268,0.0004548196422757679,0.011450006222004082,0.0021679603799382185,0.45229555236728836,0.44296987087517936,3.028660782810739,2788,,,
volatility_skew,3.835030166036992,3.7961582040570776,11.768231462556667,11.76822500347801,0.32587990627470426,0.32257695641739953,-0.30598093852812747,12.406518596608963,0.5141793912687026,0.01957760259378783,0.022179852332329202,0.0813663257632653,0.09068937921279896,0.4702295552367288,0.45408895265423244,6.177198906425483,2788,,,
sector_relative_strength,3.8312793085088046,3.7926926155389333,11.761460239449695,11.761452890925717,0.3257486086343362,0.322468036110156,-0.22444670804039046,16.897964994240045,0.5104059916649587,0.03750146957589679,0.024681155048747065,0.1563940539383886,0.12009221689548735,0.4695121951219512,0.45516499282639883,6.354420944547481,2788,,,
mom_5,3.8211301389841617,3.7723952035465724,11.763249368684544,11.76324150258339,0.3248362777343272,0.320693509753931,-0.2813227367024721,13.409492768927066,0.6446420031427206,0.0393671938156971,0.0365181447815745,0.12773973502828392,0.13068395709790842,0.4652080344332855,0.46628407460545196,4.809793322813704,2788,,,
reversal_2_5,3.8157081188751594,3.7655471289182025,11.764351243435755,11.764332127312654,0.3243449672589672,0.32008167468988086,-0.3063344544772324,12.2922742573773,0.6635051581608253,0.04301930536204707,0.03775708306534144,0.13820073412636538,0.13375280952057553,0.47812051649928267,0.46413199426111906,4.871684341098186,2788,,,
relative_strength,3.8101626749574624,3.7712535680708066,11.764019587032223,11.764013182906748,0.3238827211030405,0.3205754285918757,-0.30153467759929053,12.506865207332558,0.5146707260139829,0.03567598083634606,0.032006958974892266,0.1130184511339703,0.11157528816941596,0.46233859397417504,0.4634146341463415,5.090636554446907,2788,,,
residual_momentum,3.80343001696445,3.7646483885569904,11.76343634345225,11.763416883749887,0.3233264418591011,0.32003017709569714,-0.3044874754898368,12.363885846209945,0.5129845027441872,0.03463358783354912,0.03172187693779922,0.11002445840767999,0.11057184017282692,0.4619799139167862,0.4655667144906743,5.147602205420881,2788,,,
reversal_1,3.79361706663021,3.689404122519084,11.766242742505979,11.766224624030537,0.32241533254499594,0.3135588721452841,-0.2781634319144284,13.263440478596259,1.3784780967080106,0.0465592239190924,0.036678333575018415,0.1503214197209542,0.13487287421190436,0.46736011477761835,0.4687948350071736,5.327060016021157,2788,,,
high_vol_pullback,3.7839812012158873,3.680695066156544,11.7662411011292,11.766222310003377,0.32159643582798425,0.3128187594269148,-0.3164234590238494,11.632181373376376,1.3662187177162068,0.048936280724362444,0.037163839675878246,0.15669204618534913,0.1370903920682498,0.4634146341463415,0.4619799139167862,5.350348416894922,2788,,,
ma_dev_20,3.767852691755158,3.7380781436920305,11.762358301024975,11.762340914480314,0.320331399140156,0.3178005271969442,-0.3290940624750355,11.358692148921996,0.39384322834824986,0.029938538108987077,0.026660614887898202,0.09460920972646725,0.091752340218507,0.4713055954088953,0.45480631276901007,4.905805215348485,2788,,,
mom_10,3.7569475119416667,3.7214140614395146,11.763225099844183,11.763202030863283,0.31938073785491294,0.31636063477236787,-0.34088247334386157,10.917000293193654,0.4700191865364031,0.025474975128779984,0.023421914394009678,0.08070230693726335,0.08119366907528622,0.46305595408895267,0.44440459110473457,5.021263864509575,2788,,,
extreme_reversion,3.7210908421294824,3.6164385840754854,11.765373516882137,11.76533021225587,0.3162747733244583,0.307380967540398,-0.3592414619547323,10.066874141969699,1.3842891276983815,0.030922968576561138,0.02623409556184356,0.11934131866498647,0.10360903569795843,0.4684361549497848,0.4616212338593974,5.78822309062527,2788,,,
mom_20,3.7146348934772537,3.6881358762606102,11.762342751040023,11.76233477354223,0.3158074009660029,0.3135547446376522,-0.3257695627542233,11.321302840815497,0.3505161007492428,0.01839075236334489,0.01602773997910227,0.058488430285327374,0.054729029599680366,0.45946915351506457,0.4537302725968436,4.885496895883587,2788,,,
close_in_range_20,3.713345843484147,3.6739691648614787,11.761931809592257,11.761900370117113,0.31570883963600155,0.31236186749173234,-0.36189290208852787,10.1520895924141,0.5208555373368859,0.02255860725017067,0.020440119324254203,0.08854301224774869,0.0793992531295706,0.47094691535150646,0.45265423242467717,5.43844796519271,2788,,,
