entity,annual_return_gross,annual_return_net,annual_vol_gross,annual_vol_net,sharpe_gross,sharpe_net,max_drawdown,calmar,avg_turnover,ic_mean,rank_ic_mean,icir,rank_icir,long_win_rate,short_win_rate,profit_loss_ratio,n_obs,selected_factor_count,weighting,weight_max
up_volume_ratio,0.0792460591202055,0.03399923702551397,0.1407745685691628,0.1407814909063387,0.5629288011724347,0.24150360112419542,-0.33055654784270505,0.10285452594238872,0.59850293776047,0.012369476513543698,0.020662995422556896,0.05079361153954158,0.08875370977609953,0.460545193687231,0.44583931133428983,1.0476165404400435,2788,,,
range_breakout_strength,0.08584250342056127,0.034596552918409185,0.15587778781236247,0.15581912798248512,0.5507038855586915,0.22203020493285025,-0.3654152416040678,0.0946773669498302,0.6778564881237047,0.01550252777590346,0.016753099544496136,0.06025502666889731,0.06494906989596143,0.45911047345767575,0.453012912482066,1.07831107672593,2788,,,
volatility_skew,3.835030166036992,3.7961582040570776,11.768231462556667,11.76822500347801,0.32587990627470426,0.32257695641739953,-0.30598093852812747,12.406518596608963,0.5141793912687026,0.01957760259378783,0.022179852332329202,0.0813663257632653,0.09068937921279896,0.4702295552367288,0.45408895265423244,6.177198906425483,2788,,,
sector_relative_strength,3.8312793085088046,3.7926926155389333,11.761460239449695,11.761452890925717,0.3257486086343362,0.322468036110156,-0.22444670804039046,16.897964994240045,0.5104059916649587,0.03750146957589679,0.024681155048747065,0.1563940539383886,0.12009221689548735,0.4695121951219512,0.45516499282639883,6.354420944547481,2788,,,
reversal_2_5,3.8157081188751594,3.7655471289182025,11.764351243435755,11.764332127312654,0.3243449672589672,0.32008167468988086,-0.3063344544772324,12.2922742573773,0.6635051581608253,0.04301930536204707,0.03775708306534144,0.13820073412636538,0.13375280952057553,0.47812051649928267,0.46413199426111906,4.871684341098186,2788,,,
relative_strength,3.8101626749574624,3.7712535680708066,11.764019587032223,11.764013182906748,0.3238827211030405,0.3205754285918757,-0.30153467759929053,12.506865207332558,0.5146707260139829,0.03567598083634606,0.032006958974892266,0.1130184511339703,0.11157528816941596,0.46233859397417504,0.4634146341463415,5.090636554446907,2788,,,
residual_momentum,3.80343001696445,3.7646483885569904,11.76343634345225,11.763416883749887,0.3233264418591011,0.32003017709569714,-0.3044874754898368,12.363885846209945,0.5129845027441872,0.03463358783354912,0.03172187693779922,0.11002445840767999,0.11057184017282692,0.4619799139167862,0.4655667144906743,5.147602205420881,2788,,,
reversal_1,3.79361706663021,3.689404122519084,11.766242742505979,11.766224624030537,0.32241533254499594,0.3135588721452841,-0.2781634319144284,13.263440478596259,1.3784780967080106,0.0465592239190924,0.036678333575018415,0.1503214197209542,0.13487287421190436,0.46736011477761835,0.4687948350071736,5.327060016021157,2788,,,
ma_dev_20,3.767852691755158,3.7380781436920305,11.762358301024975,11.762340914480314,0.320331399140156,0.3178005271969442,-0.3290940624750355,11.358692148921996,0.39384322834824986,0.029938538108987077,0.026660614887898202,0.09460920972646725,0.091752340218507,0.4713055954088953,0.45480631276901007,4.905805215348485,2788,,,
mom_10,3.7569475119416667,3.7214140614395146,11.763225099844183,11.763202030863283,0.31938073785491294,0.31636063477236787,-0.34088247334386157,10.917000293193654,0.4700191865364031,0.025474975128779984,0.023421914394009678,0.08070230693726335,0.08119366907528622,0.46305595408895267,0.44440459110473457,5.021263864509575,2788,,,
mom_20,3.7146348934772537,3.6881358762606102,11.762342751040023,11.76233477354223,0.3158074009660029,0.3135547446376522,-0.3257695627542233,11.321302840815497,0.3505161007492428,0.01839075236334489,0.01602773997910227,0.058488430285327374,0.054729029599680366,0.45946915351506457,0.4537302725968436,4.885496895883587,2788,,,
breakout_20,3.708882182657077,3.6766811806354265,11.76250907648668,11.76249462743434,0.3153138636102014,0.31257665121989453,-0.37190273281145714,9.886136498220859,0.42593918018057186,0.024055102501981406,0.022166720869787424,0.07881767494975962,0.07739330790724078,0.4601865136298422,0.45875179340028693,4.988705755778447,2788,,,
smoothed_momentum,3.670991672837156,3.6471165795803424,11.764676179056286,11.764665396298803,0.3120350800111549,0.3100059760924213,-0.34304808060811565,10.631502654424299,0.3158081118626312,0.015077145255636994,0.01711832396079007,0.04878909610407713,0.059697439243292225,0.46377331420373025,0.45121951219512196,5.062514027123078,2788,,,
downside_volatility,3.608641387455677,3.5843817066809276,11.763429614955866,11.76343202311661,0.30676779694143785,0.30470543797398336,-0.3496254775266938,10.25206095401689,0.32089524834323974,0.022937314887565136,0.017035179815361855,0.07013008525536198,0.05745858977854571,0.45767575322812054,0.4515781922525108,4.750626976241892,2788,,,
volatility_20,3.5649828153962804,3.553165247247069,11.763363065306235,11.763351198664243,0.3030581301966704,0.3020538269443609,-0.32579025135871753,10.90629701910506,0.15631703901072624,0.008264657792155829,0.006014304743811915,0.025667036184064913,0.019939130347909215,0.4469153515064562,0.4401004304160689,4.710322379237646,2788,,,
trend_stability_20,3.5635658949624185,3.5364986101704523,11.764130507701214,11.764149258979474,0.3029179158314831,0.30061660493393294,-0.3202327132729341,11.04352698394151,0.3580328676185921,0.008722576836419709,0.010684200962830195,0.03228563561432323,0.03961368398650053,0.46377331420373025,0.44583931133428983,5.236307318990915,2788,,,
volatility_spillover,3.5412462514799303,3.5187203619533873,11.761928631735792,11.761890633885022,0.3010770055112401,0.2991628192678692,-0.42670746494996403,8.246212337452297,0.2979615016738403,0.006470758444259193,0.0030679868074260557,0.01951969294858607,0.01014694718025449,0.44404591104734575,0.43149210903873747,4.64023260533771,2788,,,
volume_change_rate,3.4868033338217135,3.4327069651383995,11.762964677892972,11.762965115147866,0.29642215455893756,0.29182327172915784,-0.5057032940357167,6.787986168221311,0.7155604323189539,-0.0015196353896849168,-0.010265484820462573,-0.006095847929155848,-0.043953203574344527,0.45480631276901007,0.4268292682926829,6.099763056527647,2788,,,
body_strength,0.023005950734681323,-0.07996922045352789,0.16132536007753265,0.1613420124540061,0.14260591591814648,-0.49565032217708827,-0.6480616312721215,-0.12339755448343888,1.3621054389974765,0.008188493032224289,0.018486568876605634,0.0288884348629026,0.07018420737452313,0.4565997130559541,0.45480631276901007,0.9773820557717867,2788,,,
amplitude_mean_5,0.005988242452627353,-0.014328321392422873,0.1962550560592812,0.19625853740126692,0.0305125512324051,-0.07300737884909143,-0.44414958721104947,-0.03226012542845028,0.2687376169980187,0.007351221539645149,0.0026217782181438038,0.021335037913368115,0.00799134554201614,0.4483500717360115,0.4386657101865136,1.005621036561469,2788,,,
combo_selected,3.8029859250751348,3.7641239057064126,11.762269280286509,11.762249921853032,0.32332076697554585,0.3200173377300089,-0.2709438237406563,13.892635948436974,0.51404787524766,0.03583791430723326,0.031098033112799923,0.11842020325714583,0.11169620338358563,0.47058823529411764,0.4583931133428981,5.279127741269965,2788,20.0,weighted,0.06969228156794784
